entry_date,entry_price,qty,cash_out,exit_date,exit_price,pnl,capital_after
1970-01-01,265.5327,3,797.3946980999998,1970-01-01,259.87,-18.56,981.44
1970-01-01,265.0224,3,795.8624023349997,1970-01-01,286.0169,61.33,1042.77
1970-01-01,286.6332,3,860.7596347349998,1970-01-01,273.4632,-41.19,1001.58
1970-01-01,277.1085,3,832.1567804550001,1970-01-01,288.3657,32.08,1033.65
1970-01-01,289.3446,3,868.9018337999998,1970-01-01,300.2498,30.95,1064.6
1970-01-01,306.9534,3,921.7810601999998,1970-01-01,319.84,36.78,1101.38
1970-01-01,323.1215,3,970.3338044399998,1970-01-01,327.7061,11.8,1113.18
1970-01-01,327.8038,3,984.3948714599998,1970-01-01,280.8595,-142.66,970.52
1970-01-01,280.15,3,841.2904650149998,1970-01-01,264.3877,-48.92,921.6
1970-01-01,269.4346,3,809.1122539499999,1970-01-01,237.781,-96.48,825.12
1970-01-01,238.019,3,714.7709068499998,1970-01-01,228.7856,-29.1,796.02
1970-01-01,228.7343,3,686.8891329299998,1970-01-01,277.861,145.86,941.88
1970-01-01,280.5802,3,842.5824006599998,1970-01-01,316.8215,106.93,1048.81
1970-01-01,317.8588,3,954.5301265499997,1970-01-01,292.8535,-76.85,971.96
1970-01-01,300.3301,3,901.8912602699999,,,,
